Year,Artist,Song,CompressedRatio
1976,the bellamy brothers,let your love flow,61.475
1971,denise lasalle,trapped by a thing called love,61.491
1968,the american breed,bend me shape me,61.497
1980,bob seger and the silver bullet band,against the wind,61.499
1980,barry manilow,ships,61.504
1966,paul revere  the raiders,kicks,61.509
1980,eagles,the long run,61.511
1966,carla thomas,baby,61.538
1975,earth wind  fire,shining star,61.538
1978,paul davis,i go crazy,61.538
1989,natalie cole,miss you like crazy,61.562
1979,sister sledge,hes the greatest dancer,61.565
1992,en vogue,giving him something he can feel,61.569
2009,pink,please dont leave me,61.569
1981,barbra streisand,woman in love,61.57
1980,kenny loggins,this is it,61.587
1968,mary hopkin,those were the days,61.589
1995,blessid union of souls,i believe,61.592
2003,3 doors down,here without you,61.6
2004,3 doors down,here without you,61.6
2012,eli young band,even if it breaks your heart,61.6
1987,wang chung,everybody have fun tonight,61.603
2013,alicia keys,girl on fire,61.603
1968,the vogues,turn around look at me,61.607
1985,david lee roth,california girls,61.607
2002,justin timberlake,like i love you,61.609
2007,gwen stefani,wind it up,61.637
2009,taylor swift,you belong with me,61.637
2010,taylor swift,you belong with me,61.637
1979,firefall,strange way,61.65
1978,high inergy,you cant turn me off in the middle of turning me on,61.654
1994,coolio,fantastic voyage,61.655
1969,the temptations,runaway child running wild,61.67
1981,sheena easton,for your eyes only,61.677
1965,the righteous brothers,just once in my life,61.679
1972,joe tex,i gotcha,61.679
1980,pete townshend,let my love open the door,61.694
1965,petula clark,i know a place,61.702
2012,gavin degraw,not over you,61.709
1996,new edition,hit me off,61.713
1984,van halen,jump,61.714
1984,shalamar,dancing in the sheets,61.719
1969,marvin gaye,thats the way love is,61.721
1972,don mclean,american pie,61.73
2004,tim mcgraw,live like you were dying,61.732
2013,darius rucker,wagon wheel,61.732
1987,peter gabriel,big time,61.736
2001,jessica simpson,irresistible,61.742
1966,the four tops,reach out ill be there,61.753
2009,nickelback,if today was your last day,61.756
1972,sly  the family stone,family affair,61.78
1977,leo sayer,how much love,61.78
1989,bon jovi,ill be there for you,61.783
2006,john mayer,waiting on the world to change,61.786
2007,john mayer,waiting on the world to change,61.786
1974,diana ross  marvin gaye,my mistake was to love you,61.792
2012,flo rida featuring sia,wild ones,61.8
1995,soul for real,candy rain,61.806
2014,lorde,team,61.813
1966,the beatles,nowhere man,61.818
1968,the bee gees,ive gotta get a message to you,61.818
1998,busta rhymes,dangerous,61.818
1999,sixpence none the richer,kiss me,61.818
2000,dr dre featuring eminem,forgot about dre,61.818
2006,nelly furtado featuring timbaland,promiscuous,61.831
1971,jean knight,mr big stuff,61.832
1992,bobby brown,humpin around,61.834
2003,ja rule featuring ashanti,mesmerize,61.836
1989,surface,shower me with your love,61.842
2004,maroon 5,this love,61.842
2008,daughtry,feels like tonight,61.842
1968,dionne warwick,theme from valley of the dolls,61.875
1996,collective soul,the world i know,61.881
2000,da brat featuring tyrese,whatchu like,61.881
2002,camron featuring juelz santana and freekey zekey,hey ma,61.887
1988,george michael,one more try,61.888
1975,captain  tennille,love will keep us together,61.905
1981,terri gibbs,somebodys knockin,61.905
2012,big sean featuring nicki minaj,dance a,61.916
1972,the osmonds,down by the lazy river,61.925
1970,edison lighthouse,love grows where my rosemary goes,61.927
1979,rod stewart,da ya think im sexy,61.932
2003,jayz,excuse me miss,61.933
1982,barbra streisand,comin in and out of your life,61.94
1988,tracy chapman,fast car,61.943
1998,big pun featuring joe,still not a player,61.943
1994,aerosmith,crazy,61.95
1992,madonna,this used to be my playground,61.957
2015,adele,hello,61.957
1965,the righteous brothers,youve lost that lovin feelin,61.966
1970,the four tops,still water love,61.972
1991,prince and the new power generation,cream,61.972
1992,toad the wet sprocket,all i want,61.979
1987,u2,with or without you,61.988
2001,outkast,ms jackson,62
1981,john lennon,just like starting over,62.009
1999,third eye blind,jumper,62.016
2003,fabolous featuring lil mo and mike shorey,cant let you go,62.016
1977,boz scaggs,lido shuffle,62.025
2006,the fray,over my head cable car,62.025
1977,jennifer warnes,right time of the night,62.032
1988,pretty poison,catch me im falling,62.037
1981,the police,dont stand so close to me,62.041
1969,new colony six,things id like to say,62.048
2011,keha,we r who we r,62.048
2010,eminem featuring rihanna,love the way you lie,62.05
1990,mariah carey,love takes time,62.054
1991,mariah carey,love takes time,62.054
1982,stevie nicks and don henley,leather and lace,62.055
1983,dionne warwick,heartbreaker,62.058
1999,shania twain,that dont impress me much,62.059
2008,taylor swift,our song,62.06
1973,steely dan,reelin in the years,62.069
1976,the staple singers,lets do it again,62.069
1998,edwin mccain,ill be,62.083
1996,blackstreet featuring dr dre,no diggity,62.096
1997,blackstreet featuring dr dre,no diggity,62.096
1998,will smith,gettin jiggy wit it,62.098
2008,plies featuring neyo,bust it baby part 2,62.107
1987,chris de burgh,the lady in red,62.14
2004,no doubt,its my life,62.143
1971,bee gees,how can you mend a broken heart,62.15
1987,cyndi lauper,change of heart,62.151
1980,m,pop muzik,62.162
2010,eminem,not afraid,62.165
1994,sheryl crow,all i wanna do,62.168
1995,sheryl crow,all i wanna do,62.168
1986,daryl hall,dreamtime,62.17
2004,britney spears,everytime,62.176
1993,toni braxton,another sad love song,62.179
1965,the ad libs,the boy from new york city,62.185
1967,scott mckenzie,san francisco be sure to wear flowers in your hair,62.185
1971,the bells,stay awhile,62.195
1986,sheila e,a love bizarre,62.195
1989,rick astley,she wants to dance with me,62.201
2006,rascal flatts,life is a highway,62.209
1987,herb alpert,diamonds,62.222
1985,wham,everything she wants,62.245
1978,odyssey,native new yorker,62.264
1980,prince,i wanna be your lover,62.288
1999,monica,angel of mine,62.29
1981,dolly parton,9 to 5,62.291
1998,puff daddy featuring the notorious big and mase,been around the world,62.294
2015,nicki minaj featuring drake lil wayne and chris brown,only,62.327
2015,taylor swift,blank space,62.335
1982,survivor,eye of the tiger,62.338
2014,american authors,best day of my life,62.338
2012,luke bryan,i dont want this night to end,62.349
1965,gary lewis  the playboys,this diamond ring,62.353
2009,drake featuring kanye west lil wayne and eminem,forever,62.357
2010,drake featuring kanye west lil wayne and eminem,forever,62.357
1982,the gogos,our lips are sealed,62.36
1988,steve winwood,roll with it,62.369
1987,tpau,heart and soul,62.373
1992,amy grant,thats what love is for,62.373
1977,leo sayer,when i need you,62.397
1997,erykah badu,on  on,62.399
1975,paul mccartney  wings,juniors farm,62.4
1991,color me badd,i adore mi amor,62.4
1999,lonestar,amazed,62.4
2000,lonestar,amazed,62.4
2015,big sean featuring drake,blessings,62.401
1980,kim carnes,more love,62.403
1999,smash mouth,all star,62.411
1992,arrested development,tennessee,62.427
1973,the spinners,one of a kind love affair,62.428
2003,lil kim featuring 50 cent,magic stick,62.435
1995,coolio featuring lv,gangstas paradise,62.45
1996,coolio featuring lv,gangstas paradise,62.45
2002,alan jackson,where were you when the world stopped turning,62.451
1978,boston,dont look back,62.455
2005,coldplay,speed of sound,62.46
1979,bee gees,love you inside out,62.466
2006,eminem featuring nate dogg,shake that,62.483
1977,aerosmith,walk this way,62.5
1989,phil collins,two hearts,62.5
2000,jessica simpson,i wanna love you forever,62.5
2005,faith hill,mississippi girl,62.5
2004,avril lavigne,dont tell me,62.538
1980,rupert holmes,him,62.545
1989,donna summer,this time i know its for real,62.551
1967,the 5th dimension,up up and away,62.564
2002,no doubt,hella good,62.564
1971,three dog night,liar,62.57
1993,jon secada,angel,62.57
2013,justin bieber featuring nicki minaj,beauty and a beat,62.579
1967,the turtles,shed rather be with me,62.581
1972,america,a horse with no name,62.585
1991,mariah carey,i dont wanna cry,62.585
1965,bert kaempfert,red roses for a blue lady,62.59
1994,prince,the most beautiful girl in the world,62.59
1988,samantha fox,naughty girls need love too,62.595
2011,blake shelton,god gave me you,62.598
2012,pitbull featuring chris brown,international love,62.603
1996,busta rhymes,woo hah got you all in check,62.605
1991,ll cool j,around the way girl,62.606
1981,heart,tell it like it is,62.613
2010,bob featuring rivers cuomo,magic,62.613
1990,paula abdul and the wild pair,opposites attract,62.619
1989,prince,batdance,62.624
1968,ohio express,yummy yummy yummy,62.637
2000,creed,higher,62.637
1990,billy joel,i go to extremes,62.654
2014,rich gang featuring young thug and rich homie quan,lifestyle,62.654
1971,stevie wonder,if you really love me,62.667
1977,foreigner,feels like the first time,62.673
1970,eric burdon  war,spill the wine,62.674
2002,michelle branch,all you wanted,62.679
2003,jason mraz,the remedy i wont worry,62.679
1980,george benson,give me the night,62.687
1968,the grass roots,midnight confessions,62.694
1977,the sylvers,hot line,62.696
1982,alabama,love in the first degree,62.698
2014,ed sheeran,dont,62.712
2015,ed sheeran,dont,62.712
1978,styx,come sail away,62.724
2012,christina perri,a thousand years,62.727
2012,adele,set fire to the rain,62.73
2013,florida georgia line,get your shine on,62.731
1982,laura branigan,gloria,62.738
1983,laura branigan,gloria,62.738
1992,tom cochrane,life is a highway,62.751
2013,avicii,wake me up,62.753
2014,avicii,wake me up,62.753
1990,poison,unskinny bop,62.759
2004,ashlee simpson,pieces of me,62.759
1990,biz markie,just a friend,62.769
2015,ilovememphis,hit the quan,62.775
1982,fleetwood mac,hold me,62.778
1979,blondie,heart of glass,62.78
1987,kool  the gang,victory,62.78
2014,iggy azalea featuring rita ora,black widow,62.781
1976,peter frampton,baby i love your way live,62.791
1983,after the fire,der kommissar,62.797
2010,daughtry,life after you,62.805
2014,beyonce,partition,62.813
2004,eminem,just lose it,62.821
1969,gary puckett  the union gap,this girl is a woman now,62.827
1974,steve miller band,the joker,62.832
1984,billy joel,uptown girl,62.835
2011,the black eyed peas,just cant get enough,62.839
1972,three dog night,never been to spain,62.842
1967,vikki carr,it must be him,62.844
1975,alice cooper,only women bleed,62.857
1982,jackson browne,somebodys baby,62.857
2011,katy perry,firework,62.865
1983,joe jackson,breaking us in two,62.869
1973,the four tops,aint no woman like the one ive got,62.893
1966,the mindbenders,a groovy kind of love,62.903
1997,98 degrees,invisible man,62.908
2011,kelly rowland featuring lil wayne,motivation,62.908
1979,styx,renegade,62.909
1972,neil diamond,song sung blue,62.914
2008,the game featuring lil wayne,my life,62.92
1986,klymaxx,i miss you,62.925
1980,styx,babe,62.927
1980,christopher cross,sailing,62.927
1998,third eye blind,hows it going to be,62.934
2011,keha,blow,62.934
2001,erick sermon featuring marvin gaye,music,62.946
2000,goo goo dolls,broadway,62.963
1992,red hot chili peppers,under the bridge,62.977
1991,bryan adams,everything i do i do it for you,62.979
2014,miley cyrus,adore you,62.981
2009,zac brown band,whatever it is,62.997
1984,huey lewis and the news,the heart of rock  roll,63
2012,kip moore,somethin bout a truck,63
1967,van morrison,brown eyed girl,63.004
1989,bette midler,wind beneath my wings,63.004
2000,3 doors down,kryptonite,63.004
2001,3 doors down,kryptonite,63.004
1994,snoop doggy dogg,gin and juice,63.011
1995,dr dre,keep their heads ringin,63.011
1971,the carpenters,rainy days and mondays,63.014
1981,pat benatar,hit me with your best shot,63.021
1991,jesus jones,right here right now,63.021
1985,commodores,nightshift,63.023
2001,nas and bravehearts,oochie wally,63.024
1989,boys club,i remember holding you,63.025
2015,sam hunt,take your time,63.027
1974,blue magic,sideshow,63.028
2003,the black eyed peas,where is the love,63.034
1988,steve winwood,dont you know what the night can do,63.035
1991,nelson,after the rain,63.035
1993,shai,if i ever fall in love,63.035
1991,madonna,justify my love,63.043
2000,jo dee messina,thats the way,63.043
1994,mariah carey,hero,63.051
1991,oleta adams,get here,63.052
2012,toby keith,red solo cup,63.056
2005,ryan cabrera,TRUE,63.063
1984,phil collins,against all odds take a look at me now,63.077
2004,linkin park,breaking the habit,63.077
2010,keha,tik tok,63.081
1983,joe cocker and jennifer warnes,up where we belong,63.084
2010,lady antebellum,need you now,63.084
2014,avicii,hey brother,63.087
1970,vanity fare,hitchin a ride,63.095
1985,huey lewis and the news,the power of love,63.103
1969,the grass roots,id wait a million years,63.107
2001,lil romeo,my baby,63.112
1995,bon jovi,this aint a love song,63.115
2001,staind,its been awhile,63.118
1991,boyz ii men,motownphilly,63.123
2012,rihanna featuring chris brown,birthday cake,63.128
2009,shinedown,second chance,63.136
1987,michael jackson with siedah garrett,i just cant stop loving you,63.158
2000,tim mcgraw,my best friend,63.158
2002,steve holy,good morning beautiful,63.158
1997,timbaland  magoo featuring missy elliott and aaliyah,up jumps da boogie,63.17
2001,musiq soulchild,love,63.174
1974,paper lace,the night chicago died,63.175
2005,kelly clarkson,because of you,63.175
2006,kelly clarkson,because of you,63.175
1996,natalie merchant,wonder,63.18
1994,john mellencamp featuring meshell ndegeocello,wild night,63.182
2014,coldplay,a sky full of stars,63.187
1994,10000 maniacs,because the night,63.203
2014,mkto,classic,63.212
1984,olivia newtonjohn,twist of fate,63.218
2011,waka flocka flame featuring wale and roscoe dash,no hands,63.221
1996,deborah cox,who do u love,63.222
2015,meghan trainor featuring john legend,like im gonna lose you,63.23
1980,anne murray,broken hearted me,63.235
1972,redbone,the witch queen of new orleans,63.248
1981,kim carnes,bette davis eyes,63.248
1992,genesis,i cant dance,63.251
2008,katy perry,i kissed a girl,63.258
1985,duran duran,the wild boys,63.265
2013,hunter hayes,i want crazy,63.275
1979,little river band,lady,63.281
2004,keith urban,youll think of me,63.281
2004,mario winans featuring enya and p diddy,i dont wanna know,63.285
1985,simple minds,dont you forget about me,63.287
1986,belinda carlisle,mad about you,63.291
